index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
21,0.84,-15.5,2.7,-4.9,-19.8,1.7,-4.2,1,0.1,0,0.045426581,0.775078622,0.589495706,0.39772103,0.524029901,231.8846222,254.541459,228.4656475,216.4385479,231.8846222,-71.37307574,2.603458695,0.449398662,12,-0.534426852,-4.111950871,18.3032759,12,-0.741358327,-0.053039864,7.012464558,-0.01724429,0.338242584,-0.940900945,1.301729348,1.915845108,-1.589121698,301.8969757,100.7129372,812.9692237,812.9692237,21,0.84
22,0.87,-9.3,2.8,-4,-19.8,1.7,-4.2,1,0.1,0,0.059037113,0.258166453,0.362131923,0.592586921,0.580912985,233.3162385,379.2556294,201.1617671,219.480127,233.3162385,53.8332169,2.601464396,0.450578269,12,-0.534426852,-4.111950871,18.3032759,12,0.686925597,-0.36331449,6.96943174,0.101779371,0.312386365,-0.944487013,1.300732198,1.888500407,-1.463449038,301.8969757,100.7129372,812.9692237,812.9692237,22,0.87
23,0.91,-15.5,2.2,-5,-19.8,1.7,-4.2,1,0.1,0,0.062236204,0.804630059,0.429622674,0.423399677,0.63780809,238.3707506,270.9757931,173.8521166,232.1468354,238.3707506,-60.2909442,2.597674492,0.435728299,12,-0.534426852,-4.111950871,18.3032759,12,-0.537031405,-0.656242527,6.811623581,-0.000217046,0.287975695,-0.957637693,1.298837246,1.862908638,-1.571022974,301.8969757,100.7129372,812.9692237,812.9692237,23,0.91
24,0.94,-15.5,2.5,-4.8,-19.8,1.7,-4.2,1,0.1,0,0.064588416,0.71771018,0.551547398,0.449815561,0.544862671,232.2619892,287.8819588,218.4659179,221.0708263,232.2619892,-82.83431426,2.603043595,0.449041869,12,-0.534426852,-4.111950871,18.3032759,12,-0.356408987,-0.16579764,6.972071892,0.014834822,0.328846103,-0.944267001,1.301521798,1.905877789,-1.555087209,301.8969757,100.7129372,812.9692237,812.9692237,24,0.94
25,0.98,-15.5,2,-4.5,-19.8,1.7,-4.2,1,0.1,0,1,0.554830181,0.360902081,0.513734677,0.619375302,116.8592957,328.7901934,182.6998548,114.3975147,116.8592957,67.19466916,1.287718847,0.445243713,12,-0.534426852,-4.111950871,18.3032759,12,0.099983617,-0.614947281,6.841666536,0.052867539,0.291416966,-0.955134114,0.643859423,1.866504089,-1.515501843,301.8969757,100.7129372,812.9692237,812.9692237,25,0.98
26,1.02,-15.5,2,-4.5,-19.8,1.7,-4.2,1,0.1,-0.1,1,0.557108959,0.366739668,0.513269687,0.616802198,116.3033456,328.4925995,183.9349448,113.7838168,116.3033456,68.02060548,1.282428012,0.440954784,12,-0.534426852,-4.111950871,18.3032759,12,0.096711636,-0.601767966,6.845515205,0.052594874,0.292515242,-0.954813391,0.641214006,1.867652399,-1.515768008,301.8969757,100.7129372,812.9692237,812.9692237,26,1.02
27,1.04,-9.3,2.3,-4.3,-19.8,1.7,-4.2,1,0.1,-0.1,0.09091357,0.256654019,0.191928005,0.577906044,0.668802851,231.8446775,369.8598683,158.9746313,223.2757012,231.8446775,39.28741029,2.516763482,0.413408529,12,-0.534426852,-4.111950871,18.3032759,12,0.566859755,-0.827097626,6.814285216,0.091773884,0.27373777,-0.95741589,1.258381741,1.848073428,-1.475232485,301.8969757,100.7129372,812.9692237,812.9692237,27,1.04
28,1.07,-9.3,3.6,-5.1,-19.8,1.7,-4.2,1,0.1,-0.1,0.05318815,0.639938097,0.672957578,0.464443502,0.455615737,218.7571025,297.2438414,261.3044462,199.9538803,218.7571025,-89.00555779,2.517760419,0.400630072,12,-0.534426852,-4.111950871,18.3032759,12,-0.256756679,0.320837664,7.155483067,0.023139181,0.369399045,-0.928982736,1.258880209,1.949158569,-1.545893391,301.8969757,100.7129372,812.9692237,812.9692237,28,1.07
29,1.11,-15.5,2.1,-5.2,-19.8,1.7,-4.2,1,0.1,-0.1,0.083206335,0.80965908,0.405109193,0.422816026,0.65244181,232.2927107,270.6022565,166.8279312,226.7564388,232.2927107,-55.69973391,2.520146035,0.37830609,12,-0.534426852,-4.111950871,18.3032759,12,-0.53944474,-0.735779894,6.78800585,-0.000418157,0.281347581,-0.959605838,1.260073018,1.855994455,-1.571232086,301.8969757,100.7129372,812.9692237,812.9692237,29,1.11
30,1.17,-9.3,2.6,-3.9,-19.8,1.7,-4.2,1,0.1,-0.1,0.011938886,0.01926968,0.351906473,0.64509006,0.559590111,222.9332118,412.8576385,211.3967467,203.4294296,222.9332118,49.14084856,2.50750165,0.352227693,12,-0.534426852,-4.111950871,18.3032759,12,1.080638764,-0.257118656,7.054639022,0.134588801,0.321236018,-0.937386407,1.253750825,1.89783072,-1.428192134,301.8969757,100.7129372,812.9692237,812.9692237,30,1.17
31,1.2,-15.5,2.3,-4.8,-19.8,1.7,-4.2,1,0.1,-0.1,0.746869848,0.634959634,0.505668926,0.488501723,0.557995316,119.4711979,312.6411025,212.1622482,114.8651618,119.4711979,84.7292906,1.33599088,0.351738989,12,-0.534426852,-4.111950871,18.3032759,12,-0.079946555,-0.291759498,6.936676342,0.037873358,0.318349281,-0.94721663,0.66799544,1.89478399,-1.530833774,301.8969757,100.7129372,812.9692237,812.9692237,31,1.2
32,1.27,-15.5,2.3,-4.8,-19.8,1.7,-4.2,1,0.1,-0.1,0.740151914,0.625692055,0.499146756,0.492105767,0.560059436,120.4595903,314.947691,211.1714708,115.8872354,120.4595903,83.34835568,1.346580018,0.329364713,12,-0.534426852,-4.111950871,18.3032759,12,-0.053971248,-0.302447956,6.934157644,0.040037967,0.317458576,-0.947426521,0.673290009,1.89384455,-1.52856175,301.8969757,100.7129372,812.9692237,812.9692237,32,1.27
33,1.3,-15.5,2.5,-5,-19.8,1.7,-4.2,1,0.1,-0.1,0.073491575,0.740297606,0.585807488,0.428699997,0.524287336,214.1650483,274.367998,228.3420786,201.5384128,214.1650483,-78.28890365,2.409302346,0.329364713,12,-0.534426852,-4.111950871,18.3032759,12,-0.513576923,-0.065539396,7.006102828,0.001737494,0.337200956,-0.941431089,1.204651173,1.914738461,-1.568950741,301.8969757,100.7129372,812.9692237,812.9692237,33,1.3
